"Gene_ID" "Entrez_Gene_ID" "Gene_Symbol" "Protein_ID" "Product" "Chrom" "Start" "End" "length" "Strand" "Type" "Locus_Tag"
"3360" "Rv3296" 887503 "lhr" "NP_217813.1" "ATP-dependent helicase" "NC_000962.3" 3676775 3681316 4541 "+" "protein_coding" "Rv3296"
"3361" "Rv3297" 887937 "nei" "NP_217814.1" "endonuclease VIII" "NC_000962.3" 3681320 3682087 767 "+" "protein_coding" "Rv3297"
"3362" "Rv3298c" 887984 "lpqC" "NP_217815.1" "esterase LpqC" "NC_000962.3" 3682110 3683024 914 "-" "protein_coding" "Rv3298c"
"3363" "Rv3299c" 887500 "atsB" "NP_217816.1" "arylsulfatase AtsB" "NC_000962.3" 3683051 3685963 2912 "-" "protein_coding" "Rv3299c"
"3364" "Rv3300c" 887958 "." "NP_217817.1" "hypothetical protein" "NC_000962.3" 3685983 3686900 917 "-" "protein_coding" "Rv3300c"
"3365" "Rv3301c" 887212 "phoY1" "NP_217818.1" "phosphate transport system transcriptional regulator PhoY" "NC_000962.3" 3686912 3687577 665 "-" "protein_coding" "Rv3301c"
"3366" "Rv3302c" 887211 "glpD2" "NP_217819.1" "glycerol-3-phosphate dehydrogenase" "NC_000962.3" 3687685 3689442 1757 "-" "protein_coding" "Rv3302c"
"3367" "Rv3303c" 887659 "lpdA" "NP_217820.1" "NAD(P)H quinone reductase LpdA" "NC_000962.3" 3689457 3690938 1481 "-" "protein_coding" "Rv3303c"
"3368" "Rv3304" 887605 "." "NP_217821.1" "hypothetical protein" "NC_000962.3" 3691141 3691620 479 "+" "protein_coding" "Rv3304"
"3369" "Rv3305c" 887545 "amiA1" "YP_177955.1" "N-acyl-L-amino acid amidohydrolase AmiA" "NC_000962.3" 3691639 3692808 1169 "-" "protein_coding" "Rv3305c"
"3370" "Rv3306c" 887645 "amiB1" "YP_177956.1" "amidase AmiB" "NC_000962.3" 3692805 3693989 1184 "-" "protein_coding" "Rv3306c"
"3371" "Rv3307" 887542 "deoD" "NP_217824.1" "purine nucleoside phosphorylase" "NC_000962.3" 3694054 3694860 806 "+" "protein_coding" "Rv3307"
"3372" "Rv3308" 887541 "pmmB" "NP_217825.1" "phosphomannomutase PmmB" "NC_000962.3" 3694864 3696468 1604 "+" "protein_coding" "Rv3308"
"3373" "Rv3309c" 887944 "upp" "NP_217826.1" "uracil phosphoribosyltransferase" "NC_000962.3" 3696470 3697093 623 "-" "protein_coding" "Rv3309c"
"3374" "Rv3310" 887988 "sapM" "NP_217827.1" "acid phosphatase" "NC_000962.3" 3697198 3698097 899 "+" "protein_coding" "Rv3310"
"3375" "Rv3311" 887533 "." "NP_217828.1" "hypothetical protein" "NC_000962.3" 3698121 3699383 1262 "+" "protein_coding" "Rv3311"
"3377" "Rv3312A" 3205113 "." "YP_177957.1" "pilin" "NC_000962.3" 3700705 3701016 311 "-" "protein_coding" "Rv3312A"
"3376" "Rv3312b" 19394686 "." "YP_009030045.1" "hypothetical protein" "NC_000962.3" 3700356 3700526 170 "-" "protein_coding" "Rv3312b"
"3378" "Rv3312c" 887939 "." "NP_217829.1" "hypothetical protein" "NC_000962.3" 3699404 3700330 926 "-" "protein_coding" "Rv3312c"
"3379" "Rv3313c" 887994 "add" "NP_217830.1" "adenosine deaminase" "NC_000962.3" 3701087 3702184 1097 "-" "protein_coding" "Rv3313c"
"3380" "Rv3314c" 887929 "deoA" "NP_217831.1" "thymidine phosphorylase" "NC_000962.3" 3702184 3703467 1283 "-" "protein_coding" "Rv3314c"
"3381" "Rv3315c" 887975 "cdd" "NP_217832.1" "cytidine deaminase" "NC_000962.3" 3703464 3703865 401 "-" "protein_coding" "Rv3315c"
"3382" "Rv3316" 887969 "sdhC" "NP_217833.1" "succinate dehydrogenase cytochrome B-556 subunit" "NC_000962.3" 3704102 3704440 338 "+" "protein_coding" "Rv3316"
"3383" "Rv3317" 887845 "sdhD" "NP_217834.1" "succinate dehydrogenase hydrophobic membrane anchor subunit" "NC_000962.3" 3704437 3704871 434 "+" "protein_coding" "Rv3317"
"3384" "Rv3318" 887639 "sdhA" "NP_217835.1" "succinate dehydrogenase flavoprotein subunit" "NC_000962.3" 3705000 3706772 1772 "+" "protein_coding" "Rv3318"
"3385" "Rv3319" 887562 "sdhB" "NP_217836.1" "succinate dehydrogenase iron-sulphur protein subunit" "NC_000962.3" 3706772 3707563 791 "+" "protein_coding" "Rv3319"
"3386" "Rv3320c" 887245 "vapC44" "NP_217837.1" "ribonuclease VapC44" "NC_000962.3" 3707642 3708070 428 "-" "protein_coding" "Rv3320c"
"3387" "Rv3321c" 887577 "vapB44" "NP_217838.1" "antitoxin VapB44" "NC_000962.3" 3708074 3708316 242 "-" "protein_coding" "Rv3321c"
"3388" "Rv3322c" 887520 "." "YP_177958.1" "methyltransferase" "NC_000962.3" 3708438 3709052 614 "-" "protein_coding" "Rv3322c"
"3389" "Rv3323c" 887578 "moaX" "YP_177959.1" "MoaD-MoaE fusion protein MoaX" "NC_000962.3" 3709049 3709714 665 "-" "protein_coding" "Rv3323c"
"3390" "Rv3324c" 887981 "moaC3" "NP_217841.3" "cyclic pyranopterin monophosphate synthase accessory protein" "NC_000962.3" 3709715 3710248 533 "-" "protein_coding" "Rv3324c"
"3391" "Rv3327" 887965 "." "NP_217844.1" "transposase fusion protein" "NC_000962.3" 3711749 3713461 1712 "+" "protein_coding" "Rv3327"
"3392" "Rv3328c" 887964 "sigJ" "NP_217845.1" "ECF RNA polymerase sigma factor SigJ" "NC_000962.3" 3713394 3714332 938 "-" "protein_coding" "Rv3328c"
"3393" "Rv3329" 888028 "." "NP_217846.3" "aminotransferase" "NC_000962.3" 3714392 3715708 1316 "+" "protein_coding" "Rv3329"
"3394" "Rv3330" 887607 "dacB1" "NP_217847.1" "penicillin-binding protein DacB" "NC_000962.3" 3715777 3716994 1217 "+" "protein_coding" "Rv3330"
"3395" "Rv3331" 887504 "sugI" "NP_217848.1" "sugar-transport integral membrane protein SugI" "NC_000962.3" 3717090 3718598 1508 "+" "protein_coding" "Rv3331"
"3396" "Rv3332" 887518 "nagA" "NP_217849.1" "N-acetylglucosamine-6-phosphate deacetylase NagA" "NC_000962.3" 3718595 3719746 1151 "+" "protein_coding" "Rv3332"
"3397" "Rv3333c" 887632 "." "NP_217850.1" "hypothetical protein" "NC_000962.3" 3719937 3720782 845 "-" "protein_coding" "Rv3333c"
"3398" "Rv3334" 887593 "." "NP_217851.1" "MerR family transcriptional regulator" "NC_000962.3" 3721257 3721697 440 "+" "protein_coding" "Rv3334"
"3399" "Rv3335c" 888029 "." "NP_217852.1" "integral membrane protein" "NC_000962.3" 3721731 3722600 869 "-" "protein_coding" "Rv3335c"
"3400" "Rv3336c" 887559 "trpS" "NP_217853.1" "tryptophan--tRNA ligase" "NC_000962.3" 3722621 3723631 1010 "-" "protein_coding" "Rv3336c"
"3401" "Rv3339c" 888013 "icd1" "NP_217856.1" "isocitrate dehydrogenase" "NC_000962.3" 3724615 3725844 1229 "-" "protein_coding" "Rv3339c"
"3402" "Rv3340" 888037 "metC" "NP_217857.1" "O-acetylhomoserine sulfhydrylase" "NC_000962.3" 3726127 3727476 1349 "+" "protein_coding" "Rv3340"
"3403" "Rv3341" 888030 "metA" "NP_217858.1" "homoserine O-acetyltransferase" "NC_000962.3" 3727488 3728627 1139 "+" "protein_coding" "Rv3341"
"3404" "Rv3342" 888046 "." "NP_217859.1" "methyltransferase" "NC_000962.3" 3728624 3729355 731 "+" "protein_coding" "Rv3342"
"3405" "Rv3343c" 888033 "PPE54" "YP_177960.1" "PPE family protein PPE54" "NC_000962.3" 3729364 3736935 7571 "-" "protein_coding" "Rv3343c"
"3406" "Rv3344c" 888115 "PE_PGRS49" "YP_177961.2" "PE-PGRS family protein PE_PGRS49" "NC_000962.3" 3736984 3738000 1016 "-" "protein_coding" "Rv3344c"
"3407" "Rv3345c" 888114 "PE_PGRS50" "YP_177962.1" "PE-PGRS family protein PE_PGRS50" "NC_000962.3" 3738158 3742774 4616 "-" "protein_coding" "Rv3345c"
"3408" "Rv3346c" 888010 "." "NP_217863.1" "transmembrane protein" "NC_000962.3" 3743198 3743455 257 "-" "protein_coding" "Rv3346c"
"3409" "Rv3347c" 888120 "PPE55" "YP_177963.1" "PPE family protein PPE55" "NC_000962.3" 3743711 3753184 9473 "-" "protein_coding" "Rv3347c"
"3410" "Rv3348" 888110 "." "NP_217865.1" "transposase" "NC_000962.3" 3753765 3754256 491 "+" "protein_coding" "Rv3348"
"3411" "Rv3349c" 888126 "." "NP_217866.2" "transposase" "NC_000962.3" 3754293 3755237 944 "-" "protein_coding" "Rv3349c"
"3412" "Rv3350c" 888113 "PPE56" "YP_177964.1" "PPE family protein PPE56" "NC_000962.3" 3755952 3767102 11150 "-" "protein_coding" "Rv3350c"
"3413" "Rv3351c" 888109 "." "NP_217868.1" "hypothetical protein" "NC_000962.3" 3767346 3768140 794 "-" "protein_coding" "Rv3351c"
"3414" "Rv3352c" 888104 "." "NP_217869.1" "oxidoreductase" "NC_000962.3" 3768222 3768593 371 "-" "protein_coding" "Rv3352c"
"3415" "Rv3353c" 888095 "." "NP_217870.2" "hypothetical protein" "NC_000962.3" 3768736 3768996 260 "-" "protein_coding" "Rv3353c"
"3416" "Rv3354" 887643 "." "NP_217871.1" "hypothetical protein" "NC_000962.3" 3769111 3769500 389 "+" "protein_coding" "Rv3354"
"3417" "Rv3355c" 887660 "." "NP_217872.1" "integral membrane protein" "NC_000962.3" 3769514 3769807 293 "-" "protein_coding" "Rv3355c"
"3418" "Rv3356c" 888145 "folD" "NP_217873.1" "bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase" "NC_000962.3" 3769804 3770649 845 "-" "protein_coding" "Rv3356c"
"3419" "Rv3357" 888135 "relJ" "NP_217874.1" "antitoxin RelJ" "NC_000962.3" 3770773 3771048 275 "+" "protein_coding" "Rv3357"
"3420" "Rv3358" 888139 "relK" "NP_217875.1" "toxin RelK" "NC_000962.3" 3771045 3771302 257 "+" "protein_coding" "Rv3358"
"3421" "Rv3359" 887668 "." "NP_217876.1" "oxidoreductase" "NC_000962.3" 3771344 3772534 1190 "+" "protein_coding" "Rv3359"
"3422" "Rv3360" 888136 "." "NP_217877.1" "hypothetical protein" "NC_000962.3" 3772651 3773019 368 "+" "protein_coding" "Rv3360"
"3423" "Rv3361c" 888130 "." "NP_217878.1" "hypothetical protein" "NC_000962.3" 3773016 3773567 551 "-" "protein_coding" "Rv3361c"
"3424" "Rv3362c" 888088 "." "NP_217879.1" "ATP/GTP-binding protein" "NC_000962.3" 3773574 3774155 581 "-" "protein_coding" "Rv3362c"
"3425" "Rv3363c" 888090 "." "NP_217880.1" "hypothetical protein" "NC_000962.3" 3774136 3774504 368 "-" "protein_coding" "Rv3363c"
"3426" "Rv3364c" 888085 "." "NP_217881.1" "hypothetical protein" "NC_000962.3" 3774482 3774874 392 "-" "protein_coding" "Rv3364c"
"3427" "Rv3365c" 887652 "." "NP_217882.1" "hypothetical protein" "NC_000962.3" 3774871 3777501 2630 "-" "protein_coding" "Rv3365c"
"3428" "Rv3366" 887648 "spoU" "NP_217883.1" "tRNA/rRNA methylase SpoU" "NC_000962.3" 3777737 3778201 464 "+" "protein_coding" "Rv3366"
"3429" "Rv3367" 887404 "PE_PGRS51" "YP_177965.1" "PE-PGRS family protein PE_PGRS51" "NC_000962.3" 3778568 3780334 1766 "+" "protein_coding" "Rv3367"
"3430" "Rv3368c" 887641 "." "NP_217885.1" "oxidoreductase" "NC_000962.3" 3780335 3780979 644 "-" "protein_coding" "Rv3368c"
"3431" "Rv3369" 887669 "." "NP_217886.1" "hypothetical protein" "NC_000962.3" 3780978 3781412 434 "+" "protein_coding" "Rv3369"
"3432" "Rv3370c" 887259 "dnaE2" "NP_217887.3" "error-prone DNA polymerase" "NC_000962.3" 3781501 3784740 3239 "-" "protein_coding" "Rv3370c"
"3433" "Rv3371" 888053 "." "NP_217888.1" "diacyglycerol O-acyltransferase" "NC_000962.3" 3784932 3786272 1340 "+" "protein_coding" "Rv3371"
"3434" "Rv3372" 888137 "otsB2" "NP_217889.1" "trehalose 6-phosphate phosphatase" "NC_000962.3" 3786314 3787489 1175 "+" "protein_coding" "Rv3372"
"3435" "Rv3373" 888123 "echA18" "NP_217890.1" "enoyl-CoA hydratase" "NC_000962.3" 3787726 3788367 641 "+" "protein_coding" "Rv3373"
"3436" "Rv3375" 888064 "amiD" "NP_217892.1" "amidase" "NC_000962.3" 3788621 3790048 1427 "+" "protein_coding" "Rv3375"
"3437" "Rv3376" 888066 "." "NP_217893.1" "phosphatase" "NC_000962.3" 3790156 3790809 653 "+" "protein_coding" "Rv3376"
"3438" "Rv3377c" 888073 "." "NP_217894.1" "type B diterpene cyclase" "NC_000962.3" 3790848 3792353 1505 "-" "protein_coding" "Rv3377c"
"3439" "Rv3378c" 888075 "." "NP_217895.1" "diterpene synthase" "NC_000962.3" 3792358 3793248 890 "-" "protein_coding" "Rv3378c"
"3440" "Rv3379c" 888080 "dxs2" "NP_217896.1" "1-deoxy-D-xylulose-5-phosphate synthase" "NC_000962.3" 3793257 3794867 1610 "-" "protein_coding" "Rv3379c"
"3441" "Rv3382c" 887953 "." "YP_177967.1" "4-hydroxy-3-methylbut-2-enyl diphosphate reductase" "NC_000962.3" 3796448 3797437 989 "-" "protein_coding" "Rv3382c"
"3442" "Rv3383c" 887680 "idsB" "NP_217900.1" "polyprenyl synthetase IdsB" "NC_000962.3" 3797437 3798489 1052 "-" "protein_coding" "Rv3383c"
"3443" "Rv3384c" 887432 "vapC46" "NP_217901.1" "ribonuclease VapC46" "NC_000962.3" 3799243 3799635 392 "-" "protein_coding" "Rv3384c"
"3444" "Rv3385c" 887429 "vapB46" "NP_217902.1" "antitoxin VapB46" "NC_000962.3" 3799635 3799943 308 "-" "protein_coding" "Rv3385c"
"3445" "Rv3386" 888044 "." "NP_217903.1" "transposase" "NC_000962.3" 3800092 3800796 704 "+" "protein_coding" "Rv3386"
"3446" "Rv3387" 887820 "." "NP_217904.1" "transposase" "NC_000962.3" 3800786 3801463 677 "+" "protein_coding" "Rv3387"
"3447" "Rv3388" 888151 "PE_PGRS52" "YP_177968.1" "PE-PGRS family protein PE_PGRS52" "NC_000962.3" 3801653 3803848 2195 "+" "protein_coding" "Rv3388"
"3448" "Rv3389c" 887923 "htdY" "NP_217906.1" "3-hydroxyacyl-thioester dehydratase HtdY" "NC_000962.3" 3803919 3804791 872 "-" "protein_coding" "Rv3389c"
"3449" "Rv3390" 887627 "lpqD" "NP_217907.1" "lipoprotein LpqD" "NC_000962.3" 3804865 3805575 710 "+" "protein_coding" "Rv3390"
"3450" "Rv3391" 887950 "acrA1" "NP_217908.1" "acyl-CoA-reductase AcrA" "NC_000962.3" 3805621 3807573 1952 "+" "protein_coding" "Rv3391"
"3451" "Rv3392c" 887961 "cmaA1" "NP_217909.1" "cyclopropane mycolic acid synthase CmaA" "NC_000962.3" 3807574 3808437 863 "-" "protein_coding" "Rv3392c"
"3452" "Rv3393" 887625 "iunH" "NP_217910.1" "nucleoside hydrolase" "NC_000962.3" 3808461 3809387 926 "+" "protein_coding" "Rv3393"
"3453" "Rv3394c" 887945 "." "NP_217911.1" "hypothetical protein" "NC_000962.3" 3809442 3811025 1583 "-" "protein_coding" "Rv3394c"
"3455" "Rv3395A" 3205044 "." "YP_177969.1" "membrane protein" "NC_000962.3" 3811719 3812345 626 "+" "protein_coding" "Rv3395A"
"3454" "Rv3395c" 887960 "." "NP_217912.2" "hypothetical protein" "NC_000962.3" 3811022 3811636 614 "-" "protein_coding" "Rv3395c"
"3456" "Rv3396c" 887412 "guaA" "NP_217913.1" "GMP synthase" "NC_000962.3" 3812501 3814078 1577 "-" "protein_coding" "Rv3396c"
"3457" "Rv3397c" 887911 "phyA" "NP_217914.1" "phytoene synthase" "NC_000962.3" 3814090 3814998 908 "-" "protein_coding" "Rv3397c"
"3458" "Rv3398c" 887919 "idsA1" "YP_177970.1" "multifunctional dimethylallyltransferase/geranyltranstransferase/farnesyltranstransferase" "NC_000962.3" 3815027 3816106 1079 "-" "protein_coding" "Rv3398c"
"3459" "Rv3399" 887938 "." "NP_217916.1" "S-adenosylmethionine-dependent methyltransferase" "NC_000962.3" 3816129 3817175 1046 "+" "protein_coding" "Rv3399"
"3460" "Rv3400" 887918 "." "NP_217917.1" "hydrolase" "NC_000962.3" 3817239 3818027 788 "+" "protein_coding" "Rv3400"
"3461" "Rv3401" 887928 "." "NP_217918.1" "glycosyl hydrolase" "NC_000962.3" 3818042 3820402 2360 "+" "protein_coding" "Rv3401"
"3462" "Rv3402c" 887910 "." "NP_217919.1" "hypothetical protein" "NC_000962.3" 3820653 3821891 1238 "-" "protein_coding" "Rv3402c"
"3463" "Rv3403c" 887907 "." "NP_217920.1" "hypothetical protein" "NC_000962.3" 3822262 3823863 1601 "-" "protein_coding" "Rv3403c"
"3464" "Rv3404c" 887902 "." "NP_217921.1" "hypothetical protein" "NC_000962.3" 3823880 3824584 704 "-" "protein_coding" "Rv3404c"
"3465" "Rv3405c" 887940 "." "NP_217922.1" "HTH-type transcriptional regulator" "NC_000962.3" 3824702 3825268 566 "-" "protein_coding" "Rv3405c"
"3466" "Rv3406" 887955 "." "NP_217923.1" "dioxygenase" "NC_000962.3" 3825330 3826217 887 "+" "protein_coding" "Rv3406"
"3467" "Rv3407" 887505 "vapB47" "NP_217924.1" "antitoxin VapB47" "NC_000962.3" 3826252 3826551 299 "+" "protein_coding" "Rv3407"
"3468" "Rv3408" 887900 "vapC47" "NP_217925.1" "ribonuclease VapC47" "NC_000962.3" 3826548 3826958 410 "+" "protein_coding" "Rv3408"
"3469" "Rv3409c" 887502 "choD" "NP_217926.1" "cholesterol oxidase" "NC_000962.3" 3826991 3828727 1736 "-" "protein_coding" "Rv3409c"
"3470" "Rv3410c" 887510 "guaB3" "NP_217927.1" "oxidoreductase" "NC_000962.3" 3828783 3829910 1127 "-" "protein_coding" "Rv3410c"
"3471" "Rv3411c" 887498 "guaB2" "NP_217928.1" "inosine-5'-monophosphate dehydrogenase" "NC_000962.3" 3829930 3831519 1589 "-" "protein_coding" "Rv3411c"
"3472" "Rv3412" 887499 "." "NP_217929.1" "hypothetical protein" "NC_000962.3" 3831726 3832136 410 "+" "protein_coding" "Rv3412"
"3473" "Rv3413c" 887925 "." "NP_217930.1" "anti-sigma-D factor RsdA" "NC_000962.3" 3832146 3833045 899 "-" "protein_coding" "Rv3413c"
"3474" "Rv3414c" 887594 "sigD" "NP_217931.1" "ECF RNA polymerase sigma factor SigD" "NC_000962.3" 3833038 3833676 638 "-" "protein_coding" "Rv3414c"
"3475" "Rv3415c" 887599 "." "NP_217932.1" "hypothetical protein" "NC_000962.3" 3833694 3834521 827 "-" "protein_coding" "Rv3415c"
"3476" "Rv3416" 887598 "whiB3" "NP_217933.1" "redox-responsive transcriptional regulator WhiB3" "NC_000962.3" 3834892 3835200 308 "+" "protein_coding" "Rv3416"
"3477" "Rv3417c" 887877 "groEL1" "NP_217934.1" "chaperonin GroEL" "NC_000962.3" 3835272 3836891 1619 "-" "protein_coding" "Rv3417c"
"3478" "Rv3418c" 887583 "groES" "NP_217935.1" "chaperonin GroES" "NC_000962.3" 3836986 3837288 302 "-" "protein_coding" "Rv3418c"
"3479" "Rv3419c" 887595 "gcp" "NP_217936.1" "O-sialoglycoprotein endopeptidase" "NC_000962.3" 3837555 3838589 1034 "-" "protein_coding" "Rv3419c"
"3480" "Rv3420c" 887555 "rimI" "NP_217937.1" "ribosomal-protein-alanine acetyltransferase RimI" "NC_000962.3" 3838586 3839062 476 "-" "protein_coding" "Rv3420c"
"3481" "Rv3421c" 887532 "." "NP_217938.1" "hypothetical protein" "NC_000962.3" 3839059 3839694 635 "-" "protein_coding" "Rv3421c"
"3482" "Rv3422c" 887557 "." "NP_217939.1" "tRNA threonylcarbamoyladenosine biosynthesis protein" "NC_000962.3" 3839691 3840197 506 "-" "protein_coding" "Rv3422c"
"3483" "Rv3423c" 887634 "alr" "NP_217940.1" "alanine racemase" "NC_000962.3" 3840194 3841420 1226 "-" "protein_coding" "Rv3423c"
"3484" "Rv3424c" 887618 "." "NP_217941.1" "hypothetical protein" "NC_000962.3" 3841714 3842076 362 "-" "protein_coding" "Rv3424c"
"3485" "Rv3425" 887635 "PPE57" "YP_177971.1" "PPE family protein PPE57" "NC_000962.3" 3842239 3842769 530 "+" "protein_coding" "Rv3425"
"3486" "Rv3426" 887622 "PPE58" "YP_177972.1" "PPE family protein PPE58" "NC_000962.3" 3843036 3843734 698 "+" "protein_coding" "Rv3426"
"3487" "Rv3427c" 887631 "." "NP_217944.1" "transposase" "NC_000962.3" 3843885 3844640 755 "-" "protein_coding" "Rv3427c"
"3488" "Rv3428c" 887621 "." "NP_217945.1" "transposase" "NC_000962.3" 3844738 3845970 1232 "-" "protein_coding" "Rv3428c"
"3489" "Rv3429" 887630 "PPE59" "YP_177973.1" "PPE family protein PPE59" "NC_000962.3" 3847165 3847701 536 "+" "protein_coding" "Rv3429"
"3490" "Rv3430a" 19394687 "." "YP_009030046.1" "hypothetical protein" "NC_000962.3" 3848844 3848999 155 "-" "protein_coding" "Rv3430a"
"3491" "Rv3430c" 887615 "." "NP_217947.1" "transposase" "NC_000962.3" 3847642 3848805 1163 "-" "protein_coding" "Rv3430c"
"3492" "Rv3432c" 887580 "gadB" "NP_217949.1" "glutamate decarboxylase GadB" "NC_000962.3" 3850372 3851754 1382 "-" "protein_coding" "Rv3432c"
"3493" "Rv3433c" 887571 "." "NP_217950.1" "bifunctional ADP-dependent (S)-NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase" "NC_000962.3" 3851792 3853213 1421 "-" "protein_coding" "Rv3433c"
"3494" "Rv3434c" 887573 "." "NP_217951.1" "transmembrane protein" "NC_000962.3" 3853215 3853928 713 "-" "protein_coding" "Rv3434c"
"3495" "Rv3435c" 887564 "." "NP_217952.1" "transmembrane protein" "NC_000962.3" 3853939 3854793 854 "-" "protein_coding" "Rv3435c"
"3496" "Rv3436c" 887568 "glmS" "NP_217953.1" "glucosamine--fructose-6-phosphate aminotransferase" "NC_000962.3" 3855015 3856889 1874 "-" "protein_coding" "Rv3436c"
"3497" "Rv3437" 887567 "." "NP_217954.1" "transmembrane protein" "NC_000962.3" 3856911 3857387 476 "+" "protein_coding" "Rv3437"
"3498" "Rv3438" 887561 "." "NP_217955.1" "hypothetical protein" "NC_000962.3" 3857397 3858239 842 "+" "protein_coding" "Rv3438"
"3499" "Rv3439c" 887565 "." "NP_217956.1" "hypothetical protein" "NC_000962.3" 3858259 3859662 1403 "-" "protein_coding" "Rv3439c"
"3500" "Rv3440c" 887592 "." "NP_217957.1" "hypothetical protein" "NC_000962.3" 3859665 3859976 311 "-" "protein_coding" "Rv3440c"
"3501" "Rv3441c" 887589 "mrsA" "NP_217958.1" "phosphoglucosamine mutase" "NC_000962.3" 3860024 3861370 1346 "-" "protein_coding" "Rv3441c"
"3502" "Rv3442c" 887488 "rpsI" "NP_217959.1" "30S ribosomal protein S9" "NC_000962.3" 3861495 3861950 455 "-" "protein_coding" "Rv3442c"
"3503" "Rv3443c" 887584 "rplM" "NP_217960.1" "50S ribosomal protein L13" "NC_000962.3" 3861947 3862390 443 "-" "protein_coding" "Rv3443c"
"3504" "Rv3444c" 887587 "esxT" "NP_217961.1" "ESAT-6 like protein EsxT" "NC_000962.3" 3862624 3862926 302 "-" "protein_coding" "Rv3444c"
"3505" "Rv3445c" 887585 "esxU" "NP_217962.2" "ESAT-6 like protein EsxU" "NC_000962.3" 3862947 3863264 317 "-" "protein_coding" "Rv3445c"
"3506" "Rv3446c" 887586 "." "NP_217963.1" "hypothetical protein" "NC_000962.3" 3863317 3864531 1214 "-" "protein_coding" "Rv3446c"
"3507" "Rv3447c" 887581 "eccC4" "NP_217964.1" "ESX-4 secretion system protein EccC4" "NC_000962.3" 3864528 3868238 3710 "-" "protein_coding" "Rv3447c"
"3508" "Rv3448" 887624 "eccD4" "NP_217965.1" "ESX-4 secretion system protein EccD4" "NC_000962.3" 3868352 3869755 1403 "+" "protein_coding" "Rv3448"
"3509" "Rv3449" 887602 "mycP4" "NP_217966.1" "membrane-anchored mycosin" "NC_000962.3" 3869752 3871119 1367 "+" "protein_coding" "Rv3449"
"3510" "Rv3450c" 887619 "eccB4" "NP_217967.1" "ESX-4 secretion system protein EccB4" "NC_000962.3" 3871084 3872496 1412 "-" "protein_coding" "Rv3450c"
"3511" "Rv3451" 887611 "cut3" "NP_217968.2" "cutinase" "NC_000962.3" 3872617 3873405 788 "+" "protein_coding" "Rv3451"
"3512" "Rv3452" 887610 "cut4" "NP_217969.1" "cutinase" "NC_000962.3" 3873452 3874132 680 "+" "protein_coding" "Rv3452"
"3513" "Rv3455c" 887590 "truA" "NP_217972.3" "tRNA pseudouridine synthase A" "NC_000962.3" 3876052 3876822 770 "-" "protein_coding" "Rv3455c"
"3514" "Rv3456c" 887523 "rplQ" "NP_217973.1" "50S ribosomal protein L17" "NC_000962.3" 3876890 3877432 542 "-" "protein_coding" "Rv3456c"
"3515" "Rv3457c" 887629 "rpoA" "NP_217974.1" "DNA-directed RNA polymerase subunit alpha" "NC_000962.3" 3877464 3878507 1043 "-" "protein_coding" "Rv3457c"
"3516" "Rv3458c" 887620 "rpsD" "NP_217975.1" "30S ribosomal protein S4" "NC_000962.3" 3878659 3879264 605 "-" "protein_coding" "Rv3458c"
"3517" "Rv3459c" 887524 "rpsK" "NP_217976.1" "30S ribosomal protein S11" "NC_000962.3" 3879273 3879692 419 "-" "protein_coding" "Rv3459c"
"3518" "Rv3460c" 887514 "rpsM" "NP_217977.1" "30S ribosomal protein S13" "NC_000962.3" 3879696 3880070 374 "-" "protein_coding" "Rv3460c"
"3519" "Rv3461c" 887272 "rpmJ" "NP_217978.1" "50S ribosomal protein L36" "NC_000962.3" 3880286 3880399 113 "-" "protein_coding" "Rv3461c"
"3520" "Rv3462c" 887325 "infA" "NP_217979.1" "translation initiation factor IF-1" "NC_000962.3" 3880432 3880653 221 "-" "protein_coding" "Rv3462c"
"3521" "Rv3463" 888286 "." "NP_217980.1" "hypothetical protein" "NC_000962.3" 3880907 3881764 857 "+" "protein_coding" "Rv3463"
"3522" "Rv3464" 887332 "rmlB" "NP_217981.1" "dTDP-glucose 4,6-dehydratase" "NC_000962.3" 3881837 3882832 995 "+" "protein_coding" "Rv3464"
"3523" "Rv3465" 887352 "rmlC" "NP_217982.1" "dTDP-4-dehydrorhamnose 3,5-epimerase" "NC_000962.3" 3882834 3883442 608 "+" "protein_coding" "Rv3465"
"3524" "Rv3466" 887830 "." "NP_217983.1" "hypothetical protein" "NC_000962.3" 3883525 3884193 668 "+" "protein_coding" "Rv3466"
"3525" "Rv3467" 888022 "." "NP_217984.1" "hypothetical protein" "NC_000962.3" 3883964 3884917 953 "+" "protein_coding" "Rv3467"
"3526" "Rv3468c" 888007 "." "YP_177974.1" "dTDP-glucose 4,6-dehydratase" "NC_000962.3" 3884975 3886069 1094 "-" "protein_coding" "Rv3468c"
"3527" "Rv3469c" 888074 "mhpE" "NP_217986.1" "4-hydroxy-2-oxovalerate aldolase MhpE" "NC_000962.3" 3886073 3887083 1010 "-" "protein_coding" "Rv3469c"
"3528" "Rv3470c" 888041 "ilvB2" "NP_217987.1" "acetolactate synthase large subunit" "NC_000962.3" 3887144 3888802 1658 "-" "protein_coding" "Rv3470c"
"3529" "Rv3471c" 888050 "." "NP_217988.1" "hypothetical protein" "NC_000962.3" 3888808 3889341 533 "-" "protein_coding" "Rv3471c"
